rsi,rsi_umbral,rsi_distancia,rsi_distancia_rel,volatilidad,tp_pct,sl_pct,tp_sl_ratio,vol_tp_interac,spread_tp_sl,log_precio,monto,es_btc,es_eth,hora,mes,es_ny_night,ganancia_neta,target
26.6,30.0,3.3999999999999986,0.11333333333333329,2.32,1.85,4.09135646532286,0.4521727734261385,4.292,4.1671307256186845,11.678276330748483,5.0,1,0,12,7,0,0.02,1
29.1,30.0,0.8999999999999986,0.029999999999999954,2.43,1.94,4.283115045184882,0.45294137083265273,4.7142,4.366230992112242,11.664389710991893,5.0,1,0,2,7,1,0.02,1
37.8,40.0,2.200000000000003,0.05500000000000007,5.6,4.48,9.072140608604407,0.49381950669404046,25.088,9.478430082771471,8.20209881135412,5.0,0,1,4,7,1,0.02,1
37.4,40.0,2.6000000000000014,0.06500000000000003,5.24,4.19,8.821688495009727,0.47496576220869835,21.955600000000004,9.191447328927476,8.20653449988137,5.0,0,1,8,7,0,0.08,1
34.8,40.0,5.200000000000003,0.13000000000000006,5.3,4.24,8.867211062281088,0.4781661302769601,22.472,9.243495445226468,8.238811733847411,5.0,0,1,14,7,0,0.03,1
32.8,40.0,7.200000000000003,0.18000000000000008,5.15,4.12,8.757897499041212,0.4704325439354646,21.218000000000004,9.118588943678075,8.244468037828065,5.0,0,1,16,7,0,0.02,1
24.0,30.0,6.0,0.2,2.39,1.91,4.216926447250691,0.45293652234443466,4.5649,4.297469164477033,11.675621188838958,5.0,1,0,17,7,0,0.01,1
27.3,30.0,2.6999999999999993,0.08999999999999998,2.27,1.82,4.019613308909619,0.45277987212498866,4.1314,4.092729712564709,11.67720481901103,5.0,1,0,22,7,1,0.03,1
37.5,40.0,2.5,0.0625,4.95,3.96,8.567757295839119,0.46219796654640893,19.602,8.90691807196919,8.233635933541406,5.0,0,1,20,7,0,0.02,1
28.2,40.0,11.8,0.29500000000000004,4.97,3.97,8.599735463193781,0.4616421071312368,19.7309,8.94148325637242,8.237780830446912,5.0,0,1,21,7,1,0.04,1
36.9,40.0,3.1000000000000014,0.07750000000000004,4.64,3.71,8.052605922421996,0.4607204221517569,17.214399999999998,8.351500787776493,8.226404966530563,5.0,0,1,18,7,0,0.02,1
28.1,40.0,11.899999999999999,0.2975,4.49,3.59,7.793894283350533,0.4606169739393344,16.1191,8.073558558439043,8.234557033564457,5.0,0,1,14,7,0,0.02,1
36.5,40.0,3.5,0.0875,4.36,3.49,7.587378430287284,0.45997442095001145,15.216400000000002,7.852169000997794,8.23969376606444,5.0,0,1,15,7,0,0.02,1
21.0,40.0,19.0,0.475,4.92,3.93,8.513778349789003,0.46160468813442823,19.3356,8.848606117220474,8.19376234498231,5.0,0,1,9,8,0,0.03,1
30.8,40.0,9.2,0.22999999999999998,4.83,3.86,8.367803818228426,0.461291885403835,18.6438,8.691033074186315,8.200485934323712,5.0,0,1,11,8,0,0.02,1
25.6,30.0,4.399999999999999,0.1466666666666666,2.21,1.77,3.916520254326661,0.4519317876741846,3.9117,3.985901957354226,11.629175325914686,5.0,1,0,18,8,0,0.02,1
27.9,30.0,2.1000000000000014,0.07000000000000005,2.3,1.84,4.068961958695061,0.4522037853089436,4.232,4.143901533938529,11.645519430847562,5.0,1,0,6,8,0,0.02,1
34.8,40.0,5.200000000000003,0.13000000000000006,5.48,4.38,8.988668720472127,0.48728016753185466,24.0024,9.382619019286063,8.192429343319178,5.0,0,1,7,8,0,0.02,1
30.9,40.0,9.100000000000001,0.22750000000000004,5.31,4.25,8.868567017232165,0.4792205991951114,22.5675,9.24504537775291,8.196555326813764,5.0,0,1,12,8,0,0.02,1
36.8,40.0,3.200000000000003,0.08000000000000007,5.08,4.06,8.708540952461263,0.46620898060455657,20.624799999999997,9.062316623067522,8.201621802355922,5.0,0,1,13,8,0,0.02,1
29.2,30.0,0.8000000000000007,0.02666666666666669,2.27,1.82,4.0145442983593576,0.45335157984027924,4.1314,4.087474656538539,11.650842140670154,5.0,1,0,7,8,0,0.08,1
29.3,30.0,0.6999999999999993,0.02333333333333331,2.07,1.66,3.67214853851604,0.4520514305423021,3.4361999999999995,3.7330747478465347,11.665650672151079,5.0,1,0,12,8,0,0.01,1
17.9,30.0,12.100000000000001,0.4033333333333334,2.02,1.62,3.577355610566635,0.4528484658374235,3.2724,3.6351521630399564,11.66532246514266,5.0,1,0,23,8,1,0.03,1
34.7,40.0,5.299999999999997,0.13249999999999992,5.46,4.37,8.978896944883763,0.48669675427002823,23.8602,9.37138991641875,8.34243734234214,5.0,0,1,10,8,0,0.02,1
36.7,40.0,3.299999999999997,0.08249999999999993,5.68,4.54,9.130066150700278,0.4972581715250531,25.7872,9.54502686420011,8.347441106785805,5.0,0,1,14,8,0,0.01,1
29.7,30.0,0.3000000000000007,0.010000000000000024,2.3,1.84,4.073759594870985,0.45167122829649264,4.232,4.148877503935892,11.694860697150439,5.0,1,0,16,8,0,0.07,1
32.8,40.0,7.200000000000003,0.18000000000000008,6.27,5.0,9.523948537231263,0.524992336996979,31.349999999999998,10.000153262409324,8.426684068074005,5.0,0,1,12,8,0,0.04,1
36.8,40.0,3.200000000000003,0.08000000000000007,6.43,5.0,9.524006161037624,0.5249891605966012,32.15,10.000216792767787,8.43656864784235,5.0,0,1,13,8,0,0.06,1
33.9,40.0,6.100000000000001,0.15250000000000002,6.05,4.84,9.386604231965057,0.5156284296634035,29.282,9.841019865918252,8.42210858616806,5.0,0,1,16,8,0,0.01,1
36.8,40.0,3.200000000000003,0.08000000000000007,6.17,4.94,9.46867409741845,0.5217203537871102,30.4798,9.936050563447575,8.425731197836491,5.0,0,1,0,8,1,0.06,1
38.2,40.0,1.7999999999999972,0.04499999999999993,6.12,4.9,9.43373808397283,0.5194123428468626,29.988000000000003,9.895576001175085,8.410324872928166,5.0,0,1,14,8,0,0.04,1
17.6,30.0,12.399999999999999,0.4133333333333333,3.03,2.43,5.329219046459488,0.4559767535947676,7.3629,5.458505886099286,11.65676179141044,5.0,1,0,4,8,1,0.02,1
38.0,40.0,2.0,0.05,6.23,4.99,9.513287749671607,0.5245294929896609,31.087700000000005,9.98778814554268,8.35273827145064,5.0,0,1,6,8,0,-0.01,0
32.1,40.0,7.899999999999999,0.19749999999999995,6.34,5.0,9.523820179963248,0.5249994125801832,31.7,9.999999999999993,8.356061534504837,5.0,0,1,8,8,0,0.02,1
23.3,30.0,6.699999999999999,0.2233333333333333,2.64,2.11,4.652303711709427,0.45353874784428216,5.5704,4.750530063136916,11.6429238990398,5.0,1,0,14,8,0,0.02,1
